Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 32768, 1, 1, 32, 0.367199, 0.390122, N/A, 0.0120773, 0.00701547, 1.25895, 0.0745387, 2, 2, 16, 32, 1, 1, 82.1544, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
